run,strategy,t,ndcg,rd,lss,ptkr,conv,sigma
18,LCB,48,0.9998854204666806,0.15000000000000002,1.0,0.0,0.5,0.014417079939966385
18,LCB,49,0.9997869478591316,0.10499999999999998,1.0,0.0,0.7,0.014269544824634823
18,LCB,50,0.9996131953042179,0.06000000000000001,1.0,0.0,0.5,0.014126448280440334
18,LCB,51,0.9998127955486129,0.15500000000000003,1.0,0.0,0.75,0.013987572123604705
18,LCB,52,0.9998637532306647,0.15,1.0,0.0,0.55,0.013852712896188304
18,LCB,53,0.9998076396033081,0.15,1.0,0.0,0.75,0.013721680612390447
18,LCB,54,0.9997033787452458,0.05500000000000001,1.0,0.0,0.4,0.013594297632883315
18,LCB,55,0.9994010717895853,0.065,1.0,0.0,0.75,0.013470397652008118
18,LCB,56,0.9998632320713071,0.17,1.0,0.0,0.65,0.013349824784699543
18,LCB,57,0.9997868973698536,0.13,1.0,0.0,0.65,0.013232432741736928
18,LCB,58,0.9997838248575242,0.1,1.0,0.0,0.6,0.013118084083398785
18,LCB,59,0.9997863746379018,0.14500000000000002,1.0,0.0,0.7,0.013006649542861801
18,LCB,60,0.9998778354739075,0.16,1.0,0.0,0.65,0.012898007411770435
18,Tiered,0,0.9992509236139672,0.0,1.0,0.0,0.0,0.29999999999999993
18,Tiered,1,0.9992509236139672,0.0,1.0,0.0,0.0,0.0948683298050514
18,Tiered,2,0.9992509236139672,0.0,1.0,0.0,0.0,0.06882472016116851
18,Tiered,3,0.9992509236139672,0.0,1.0,0.0,0.0,0.056694670951384085
18,Tiered,4,0.9992509236139672,0.0,1.0,0.0,0.0,0.049319696191607185
18,Tiered,5,0.9992509236139672,0.0,1.0,0.0,0.0,0.04423258684646915
18,Tiered,6,0.9992509236139672,0.0,1.0,0.0,0.0,0.040451991747794534
18,Tiered,7,0.9992509236139672,0.0,1.0,0.0,0.0,0.0375
18,Tiered,8,0.9992509236139672,0.0,1.0,0.0,0.0,0.03511234415883917
18,Tiered,9,0.9992509236139672,0.0,1.0,0.0,0.0,0.03312945782245395
18,Tiered,10,0.9992509236139672,0.0,1.0,0.0,0.0,0.031448545101657545
18,Tiered,11,0.9992509236139672,0.0,1.0,0.0,0.0,0.030000000000000006
18,Tiered,12,0.9992509236139672,0.0,1.0,0.0,0.0,0.028734788556634548
18,Tiered,13,0.9992509236139672,0.0,1.0,0.0,0.0,0.027617238536949706
18,Tiered,14,0.9992509236139672,0.0,1.0,0.0,0.0,0.026620695282483415
18,Tiered,15,0.9992509236139672,0.0,1.0,0.0,0.0,0.02572478777137633
18,Tiered,16,0.9992509236139672,0.0,1.0,0.0,0.0,0.024913643956121993
18,Tiered,17,0.9992509236139672,0.0,1.0,0.0,0.0,0.02417468892076141
18,Tiered,18,0.9992509236139672,0.0,1.0,0.0,0.0,0.023497813499638733
18,Tiered,19,0.9992509236139672,0.0,1.0,0.0,0.0,0.022874785549890704
18,Tiered,20,0.9999674876470307,0.11499999999999999,1.0,0.0,0.55,0.02229882438741499
18,Tiered,21,0.9995054710671525,0.03,1.0,0.0,0.4,0.021764287503300346
18,Tiered,22,0.9995643021555377,0.02,1.0,0.0,0.45,0.021266436150250083
18,Tiered,23,0.9994064931057747,0.015000000000000003,1.0,0.0,0.45,0.02080125735844609
18,Tiered,24,0.9996540549315351,0.030000000000000006,1.0,0.0,0.3,0.020365326999063918
18,Tiered,25,0.9996411498829605,0.02,1.0,0.0,0.3,0.01995570315713218
18,Tiered,26,0.9997197040006078,0.03,1.0,0.0,0.5,0.019569842191603272
18,Tiered,27,0.9997387412919873,0.045,1.0,0.0,0.35,0.0192055319899344
18,Tiered,28,0.9998060542967224,0.05,1.0,0.0,0.45,0.018860838403857945
18,Tiered,29,0.9997295534949192,0.05500000000000001,1.0,0.0,0.65,0.018534061896456462
18,Tiered,30,0.9999672585989424,0.11500000000000002,1.0,0.0,0.55,0.01822370217692361
18,Tiered,31,0.9998128316405875,0.1,1.0,0.0,0.7,0.017928429140015904
18,Tiered,32,0.9996355660204053,0.02,1.0,0.0,0.4,0.01764705882352941
18,Tiered,33,0.9998265481201329,0.045,1.0,0.0,0.45,0.017378533390904772
18,Tiered,34,0.9998231767000163,0.045,1.0,0.0,0.45,0.017121904366060488
18,Tiered,35,0.9998778609126824,0.065,1.0,0.0,0.45,0.016876318513890362
18,Tiered,36,0.9998062970761253,0.05500000000000001,1.0,0.0,0.65,0.016641005886756877
18,Tiered,37,0.9998347184257076,0.06000000000000001,1.0,0.0,0.7,0.01641526965493749
18,Tiered,38,0.9998316005542035,0.05,1.0,0.0,0.65,0.01619847741468117
18,Tiered,39,0.9998069921801557,0.07,1.0,0.0,0.55,0.015990053726670783
18,Tiered,40,0.9997332326955654,0.030000000000000006,1.0,0.0,0.55,0.015789473684210527
18,Tiered,41,0.999820455130202,0.06,1.0,0.0,0.55,0.01559625734730109
18,Tiered,42,0.9998822608134734,0.08499999999999999,1.0,0.0,0.75,0.015409964908125424
18,Tiered,43,0.9998482471206651,0.06,1.0,0.0,0.45,0.01523019247700429
18,Tiered,44,0.9998827451879538,0.05500000000000001,1.0,0.0,0.55,0.01505656839685487
18,Tiered,45,0.9998347184257076,0.06000000000000001,1.0,0.0,0.65,0.014888750009563956
18,Tiered,46,0.9997711295762638,0.06999999999999999,1.0,0.0,0.65,0.01472642081021448
18,Tiered,47,0.9997286232312532,0.085,1.0,0.0,0.5,0.014569287935358962
18,Tiered,48,0.9998205208751132,0.06999999999999999,1.0,0.0,0.75,0.014417079939966385
18,Tiered,49,0.9995741308656925,0.030000000000000006,1.0,0.0,0.5,0.014269544824634823
18,Tiered,50,0.9999276198755407,0.12,1.0,0.0,0.8,0.014126448280440334
18,Tiered,51,0.9998221682816972,0.075,1.0,0.0,0.65,0.013987572123604705
18,Tiered,52,0.9998206229814013,0.095,1.0,0.0,0.6,0.013852712896188304
18,Tiered,53,0.9998205208751132,0.06999999999999999,1.0,0.0,0.6,0.013721680612390447
18,Tiered,54,0.9999528369832615,0.095,1.0,0.0,0.8,0.013594297632883315
18,Tiered,55,0.9998958545999276,0.065,1.0,0.0,0.65,0.013470397652008118
18,Tiered,56,0.9999165426779424,0.075,1.0,0.0,0.6,0.013349824784699543
18,Tiered,57,0.9999059752413931,0.11000000000000001,1.0,0.0,0.65,0.013232432741736928
18,Tiered,58,0.9997003829240458,0.05,1.0,0.0,0.5,0.013118084083398785
18,Tiered,59,0.999779560688076,0.05,1.0,0.0,0.7,0.013006649542861801
18,Tiered,60,0.9998037096558585,0.035,1.0,0.0,0.5,0.012898007411770435
18,Random,0,0.9987564057631048,0.11500000000000002,1.0,0.2,0.05,0.29999999999999993
18,Random,1,0.9990792298159852,0.05,1.0,0.1,0.1,0.0948683298050514
18,Random,2,0.9997635406553285,0.0,1.0,0.0,0.1,0.06882472016116851
18,Random,3,0.9994137168147311,0.025,1.0,0.0,0.1,0.056694670951384085
18,Random,4,0.9997635406553285,0.0,1.0,0.0,0.2,0.049319696191607185
