t,strategy,ndcg,rd,lss,ptkr,conv,sigma,run
18,LCB,0.9989532392039313,0.0375,0.9999999999999999,0.0,0.9833333333333333,0.024513199823347584,4
19,LCB,0.9991388138086976,0.04083333333333334,0.9999999999999999,0.0,1.0,0.02395664816582034,4
20,LCB,0.9989887002603607,0.03833333333333333,0.9999999999999999,0.0,0.9833333333333333,0.02325391870225381,4
0,Tiered,0.9929594572211825,0.0,0.9999999999999999,0.0,0.0,0.0479157423749955,4
1,Tiered,0.9929594572211825,0.0,0.9999999999999999,0.0,0.0,0.045880494279694636,4
2,Tiered,0.9929594572211825,0.0,0.9999999999999999,0.0,0.0,0.04391363629443985,4
3,Tiered,0.9929594572211825,0.0,0.9999999999999999,0.0,0.0,0.041926468890717786,4
4,Tiered,0.9929594572211825,0.0,0.9999999999999999,0.0,0.0,0.04027930353831863,4
5,Tiered,0.9929594572211825,0.0,0.9999999999999999,0.0,0.0,0.038112135160066576,4
6,Tiered,0.9929594572211825,0.0,0.9999999999999999,0.0,0.0,0.037360040532872785,4
7,Tiered,0.9929594572211825,0.0,0.9999999999999999,0.0,0.0,0.03611010281954777,4
8,Tiered,0.9955531746824847,0.014166666666666666,0.9999999999999999,0.0,0.9333333333333333,0.03486727257393681,4
9,Tiered,0.9974715655961279,0.029999999999999995,0.9999999999999999,0.0,0.95,0.03356157705852093,4
10,Tiered,0.9976111779949529,0.035,0.9999999999999999,0.0,0.95,0.03254580299780623,4
11,Tiered,0.9976376716963007,0.03666666666666666,0.9999999999999999,0.0,0.95,0.03129838788296621,4
12,Tiered,0.9972874774416369,0.030000000000000002,0.9999999999999999,0.0,0.95,0.030686324587737884,4
13,Tiered,0.9985419922652016,0.043333333333333335,0.9999999999999999,0.0,0.95,0.0301034502520301,4
14,Tiered,0.9981075713674858,0.03916666666666667,0.9999999999999999,0.0,0.9666666666666667,0.02892987201249058,4
15,Tiered,0.9979526535718435,0.034166666666666665,0.9999999999999999,0.0,0.95,0.027632101293097736,4
16,Tiered,0.9983446617922185,0.041666666666666664,0.9999999999999999,0.0,0.9666666666666667,0.02728690764602141,4
17,Tiered,0.9987024634313111,0.04666666666666667,0.9999999999999999,0.0,0.9666666666666667,0.026413257573484315,4
18,Tiered,0.9986589373068511,0.05,0.9999999999999999,0.0,0.9666666666666667,0.02549092287358243,4
19,Tiered,0.9986921824200938,0.056666666666666664,0.9999999999999999,0.0,0.9833333333333333,0.025443506673651323,4
20,Tiered,0.9992765651060386,0.0575,0.9999999999999999,0.0,0.9833333333333333,0.024826930730395876,4
0,Random,0.9906701069514626,0.09916666666666667,0.9999999999999999,0.0,0.08333333333333333,0.0479157423749955,4
1,Random,0.9902079662173316,0.08,0.9999999999999999,0.0,0.16666666666666666,0.045880494279694636,4
2,Random,0.994942962798279,0.04416666666666667,0.9999999999999999,0.0,0.06666666666666667,0.04362416358543387,4
3,Random,0.9925832339854651,0.08166666666666665,0.9999999999999999,0.0,0.03333333333333333,0.04237697079368754,4
4,Random,0.9887274708078493,0.07333333333333333,0.9999999999999999,0.0,0.03333333333333333,0.03928004511647567,4
5,Random,0.9937761520766065,0.07333333333333333,0.9999999999999999,0.0,0.05,0.038955793722585244,4
6,Random,0.9934100318899672,0.06333333333333334,0.9999999999999999,0.0,0.06666666666666667,0.036474883315085777,4
7,Random,0.992990492632921,0.08666666666666666,0.9999999999999999,0.0,0.016666666666666666,0.035195972910863474,4
8,Random,0.9884680583218511,0.08166666666666668,0.9999999999999999,0.0,0.016666666666666666,0.03455762537318778,4
9,Random,0.9980511520890958,0.047499999999999994,0.9999999999999999,0.0,0.13333333333333333,0.03259443671346227,4
10,Random,0.9950189898291188,0.04416666666666667,0.9999999999999999,0.0,0.1,0.03200651766564287,4
11,Random,0.9941753741897588,0.07666666666666666,0.9999999999999999,0.0,0.11666666666666667,0.03042929421172477,4
12,Random,0.9942470385101317,0.03916666666666666,0.9999999999999999,0.0,0.05,0.030003319750378295,4
13,Random,0.9961512827299013,0.0625,0.9999999999999999,0.0,0.08333333333333333,0.02860114173793936,4
14,Random,0.9862536488565836,0.09583333333333334,0.9999999999999999,0.0,0.05,0.027538295308581318,4
15,Random,0.9935946737073065,0.06499999999999999,0.9999999999999999,0.0,0.05,0.02715730776866029,4
16,Random,0.99348464561104,0.065,0.9999999999999999,0.0,0.05,0.026718793845534276,4
17,Random,0.9870566605130304,0.07333333333333333,0.9999999999999999,0.016666666666666666,0.05,0.025269037066143713,4
18,Random,0.994382073202847,0.035833333333333335,0.9999999999999999,0.0,0.1,0.02511871027687344,4
19,Random,0.9929888215632455,0.06749999999999999,0.9999999999999999,0.0,0.08333333333333333,0.024383262475493148,4
20,Random,0.9941027562422757,0.05166666666666667,0.9999999999999999,0.0,0.08333333333333333,0.02362764130514654,4
0,Naive,0.9930237622667691,0.0,0.9999999999999999,0.0,0.0,0.0479157423749955,5
1,Naive,0.9960562205146266,0.015000000000000001,0.9999999999999999,0.0,0.0,0.045880494279694636,5
2,Naive,0.9965065764316464,0.021666666666666667,0.9999999999999999,0.0,0.0,0.043728192076988706,5
3,Naive,0.9966914256391708,0.022500000000000003,0.9999999999999999,0.0,0.016666666666666666,0.04147596698774802,5
4,Naive,0.997399345400352,0.029166666666666667,0.9999999999999999,0.0,0.016666666666666666,0.03985087023013278,5
5,Naive,0.99800488137703,0.03333333333333333,0.9999999999999999,0.0,0.03333333333333333,0.03814349707862703,5
6,Naive,0.9979712865484747,0.03833333333333333,0.9999999999999999,0.0,0.05,0.03683311118542517,5
7,Naive,0.9976554737021908,0.0275,0.9999999999999999,0.0,0.03333333333333333,0.03458077594332933,5
8,Naive,0.999028740782484,0.03916666666666667,0.9999999999999999,0.0,0.05,0.03390234129336457,5
9,Naive,0.9984096711370108,0.034166666666666665,0.9999999999999999,0.0,0.03333333333333333,0.03223517113175578,5
10,Naive,0.9987026028075778,0.0375,0.9999999999999999,0.0,0.05,0.031209805091867222,5
11,Naive,0.9990526437329829,0.042499999999999996,0.9999999999999999,0.0,0.05,0.03046612664346374,5
12,Naive,0.9986073938749247,0.03666666666666667,0.9999999999999999,0.0,0.05,0.029115921032549785,5
13,Naive,0.9990526437329829,0.042499999999999996,0.9999999999999999,0.0,0.05,0.02836353012946348,5
14,Naive,0.9982357538260415,0.028333333333333332,0.9999999999999999,0.0,0.03333333333333333,0.026548367580868516,5
15,Naive,0.9986571007336009,0.030833333333333334,0.9999999999999999,0.0,0.03333333333333333,0.02595365864385655,5
16,Naive,0.999028740782484,0.03916666666666667,0.9999999999999999,0.0,0.05,0.025642313962295292,5
17,Naive,0.9988341041412823,0.03833333333333333,0.9999999999999999,0.0,0.05,0.024810435106865012,5
18,Naive,0.999034652682686,0.04000000000000001,0.9999999999999999,0.0,0.05,0.024343098105429874,5
19,Naive,0.9992742902403504,0.04,0.9999999999999999,0.0,0.05,0.02359279254500995,5
20,Naive,0.999028740782484,0.03916666666666667,0.9999999999999999,0.0,0.05,0.022995303751147046,5
0,LCB,0.9864613312881173,0.0,0.9999999999999999,0.0,0.95,0.0479157423749955,5
1,LCB,0.9864613312881173,0.0,0.9999999999999999,0.0,0.95,0.04638255472314818,5
2,LCB,0.9864613312881173,0.0,0.9999999999999999,0.0,0.95,0.043728192076988706,5
3,LCB,0.9902194293280153,0.006666666666666667,0.9999999999999999,0.0,0.95,0.04167309408981478,5
